ibu_id;last_name;first_name;country_code;gender;discipline
BTNOR11806199901;Botn;Johan-Olav;NOR;m;biathlon
BTGER11302199301;Nawrath;Philipp;GER;m;biathlon
BTSWE12803199701;Samuelsson;Sebastian;SWE;m;biathlon
BTNOR12907198801;Boe;Tarjei;NOR;m;biathlon
BTGER13012199601;Strelow;Justus;GER;m;biathlon
BTNOR10509199701;Stroemsheim;Endre;NOR;m;biathlon
BTNOR11205199201;Christiansen;Vetle Sjaastad;NOR;m;biathlon
BTNOR11108199801;Soerum;Vebjoern;NOR;m;biathlon
BTNOR11605199301;Boe;Johannes Thingnes;NOR;m;biathlon
BTSUI11901199801;Stalder;Sebastian;SUI;m;biathlon
BTNOR12305199701;Dale-Skjevdal;Johannes;NOR;m;biathlon
BTGER10103199301;Rees;Roman;GER;m;biathlon
BTFRA12212199401;Claude;Fabien;FRA;m;biathlon
BTITA10504200001;Giacomel;Tommaso;ITA;m;biathlon
BTGER11911199101;Kuehn;Johannes;GER;m;biathlon
BTGER12403199001;Doll;Benedikt;GER;m;biathlon
BTLAT12705198801;Rastorgujevs;Andrejs;LAT;m;biathlon
BTSWE10809199501;Ponsiluoma;Martin;SWE;m;biathlon
BTNOR12002199701;Laegreid;Sturla Holm;NOR;m;biathlon
BTITA12202200001;Bionaz;Didier;ITA;m;biathlon
BTAUT13112199601;Leitner;Felix;AUT;m;biathlon
BTITA13009198901;Hofer;Lukas;ITA;m;biathlon
BTFRA11608199201;Fillon Maillet;Quentin;FRA;m;biathlon
BTFRA12906200101;Perrot;Eric;FRA;m;biathlon
BTRUS11207198801;Magazeev;Pavel;MDA;m;biathlon
BTFRA11107199501;Jacquelin;Emilien;FRA;m;biathlon
BTCZE12301199101;Krcmar;Michal;CZE;m;biathlon
BTFRA10207199101;Guigonnat;Antonin;FRA;m;biathlon
BTAUT12302198301;Eder;Simon;AUT;m;biathlon
BTSLO11702200001;Vidmar;Anton;SLO;m;biathlon
BTGER11106199601;Zobel;David;GER;m;biathlon
BTKAZ12807199801;Mukhin;Alexandr;KAZ;m;biathlon
BTFRA11306199901;Claude;Emilien;FRA;m;biathlon
BTBEL12410199101;Langer;Thierry;BEL;m;biathlon
BTROU11705200001;Coltea;George;ROU;m;biathlon
BTFRA11111199101;Claude;Florent;BEL;m;biathlon
BTSWE10310199201;Nelin;Jesper;SWE;m;biathlon
BTLTU12811199201;Strolia;Vytautas;LTU;m;biathlon
BTSLO12805200101;Planko;Lovro;SLO;m;biathlon
BTCRO10108198701;Fak;Jakov;SLO;m;biathlon
BTCZE11302200101;Marecek;Jonas;CZE;m;biathlon
BTMDA10912199501;Makarov;Maksim;MDA;m;biathlon
BTSUI10103200001;Hartweg;Niklas;SUI;m;biathlon
BTAUT12709199801;Oberhauser;Magnus;AUT;m;biathlon
BTSLO12201199401;Dovzan;Miha;SLO;m;biathlon
BTAUT11012199101;Komatz;David;AUT;m;biathlon
BTCZE11802199401;Vaclavik;Adam;CZE;m;biathlon
BTFRA11305199201;Finello;Jeremy;SUI;m;biathlon
BTFIN10202199101;Hiidensalo;Olli;FIN;m;biathlon
BTCZE11705199901;Karlik;Mikulas;CZE;m;biathlon
BTEST10210199401;Zahkna;Rene;EST;m;biathlon
BTPOL11404200201;Gunka;Jan;POL;m;biathlon
BTFIN12501199601;Seppala;Tero;FIN;m;biathlon
BTUKR11712199601;Dudchenko;Anton;UKR;m;biathlon
BTCAN12803199301;Gow;Christian;CAN;m;biathlon
BTUKR12212199301;Tyshchenko;Artem;UKR;m;biathlon
BTGER21103199401;Preuss;Franziska;GER;f;biathlon
BTFRA22810199801;Jeanmonnot;Lou;FRA;f;biathlon
BTGER20710199701;Voigt;Vanessa;GER;f;biathlon
BTNOR20601199501;Knotten;Karoline Offigstad;NOR;f;biathlon
BTITA20402199501;Vittozzi;Lisa;ITA;f;biathlon
BTNOR21702199901;Arnekleiv;Juni;NOR;f;biathlon
BTNOR22309199601;Tandrevold;Ingrid Landmark;NOR;f;biathlon
BTNOR20501199901;Johansen;Marthe Krakstad;NOR;f;biathlon
BTSWE20211199501;Oeberg;Hanna;SWE;f;biathlon
BTSUI20107199501;Haecki-Gross;Lena;SUI;f;biathlon
BTSWE22706199401;Persson;Linn;SWE;f;biathlon
BTAUT21612199301;Hauser;Lisa Theresa;AUT;f;biathlon
BTITA20304199001;Wierer;Dorothea;ITA;f;biathlon
BTFRA20910199601;Simon;Julia;FRA;f;biathlon
BTGER21606199601;Hettich-Walz;Janina;GER;f;biathlon
BTSWE22602199901;Oeberg;Elvira;SWE;f;biathlon
BTFRA20407199601;Braisaz-Bouchet;Justine;FRA;f;biathlon
BTFRA21206199901;Chauveau;Sophie;FRA;f;biathlon
BTITA23108200101;Passler;Rebecca;ITA;f;biathlon
BTSWE22803199001;Brorsson;Mona;SWE;f;biathlon
BTGER21209199701;Schneider;Sophia;GER;f;biathlon
BTPOL22205199201;Maka;Anna;POL;f;biathlon
BTSUI20212199101;Gasparin;Elisa;SUI;f;biathlon
BTEST20401199501;Tomingas;Tuuli;EST;f;biathlon
BTNOR20707199801;Skogan;Marit Ishol;NOR;f;biathlon
BTGER22503200401;Grotian;Selina;GER;f;biathlon
BTSUI22909200001;Baserga;Amy;SUI;f;biathlon
BTAUT22505199701;Steiner;Tamara;AUT;f;biathlon
BTMDA21107199501;Stremous;Alina;MDA;f;biathlon
BTFRA22611199801;Guigonnat;Gilonne;FRA;f;biathlon
BTNOR20609199501;Lie;Lotte;BEL;f;biathlon
BTPOL20203199901;Jakiela;Joanna;POL;f;biathlon
BTFRA20211199501;Chevalier;Chloe;FRA;f;biathlon
BTEST21308199601;Kuelm;Susan;EST;f;biathlon
BTSLO21706199501;Lampic;Anamarija;SLO;f;biathlon
BTCZE20301199701;Davidova;Marketa;CZE;f;biathlon
BTBUL23008200301;Dimitrova;Valentina;BUL;f;biathlon
BTITA23004199801;Comola;Samuela;ITA;f;biathlon
BTUKR20407199201;Petrenko;Iryna;UKR;f;biathlon
BTLAT22004200101;Bulina;Sanita;LAT;f;biathlon
BTSUI20902199401;Gasparin;Aita;SUI;f;biathlon
BTCZE22807199401;Jislova;Jessica;CZE;f;biathlon
BTAUT20501200101;Gandler;Anna;AUT;f;biathlon
BTGER22611199701;Kebinger;Hanna;GER;f;biathlon
BTCZE23105200001;Vobornikova;Tereza;CZE;f;biathlon
BTUSA22705199201;Irwin;Deedra;USA;f;biathlon
BTFIN20812199401;Minkkinen;Suvi;FIN;f;biathlon
BTSLO20804200301;Repinc;Lena;SLO;f;biathlon
BTITA22803200101;Auchentaller;Hannah;ITA;f;biathlon
BTUSA23007199301;Dickinson;Kelsey Joan;USA;f;biathlon
BTLAT22706199101;Bendika;Baiba;LAT;f;biathlon
BTCAN22909200001;Peiffer;Benita;CAN;f;biathlon
BTAUT22903199801;Oberthaler;Kristina;AUT;f;biathlon
BTSWE21407199901;Johansson;Tilda;SWE;f;biathlon
BTUKR22509199701;Kryvonos;Anna;UKR;f;biathlon
;Granerud;Halvor Egner;NOR;m;skispringen
;Kubacki;Dawid;POL;m;skispringen
;Lanisek;Anze;SLO;m;skispringen
;Zyla;Piotr;POL;m;skispringen
;Stoch;Kamil;POL;m;skispringen
;Kraft;Stefan;AUT;m;skispringen
;Hayböck;Michael;AUT;m;skispringen
;Tschofenig;Daniel;AUT;m;skispringen
;Hörl;Jan;AUT;m;skispringen
;Fettner;Manuel;AUT;m;skispringen
;Wellinger;Andreas;GER;m;skispringen
;Kos;Lovro;SLO;m;skispringen
;Raimund;Philipp;GER;m;skispringen
;Zajc;Timi;SLO;m;skispringen
;Forfang;Johann Andre;NOR;m;skispringen
;Johansson;Robert;NOR;m;skispringen
;Schmid;Constantin;GER;m;skispringen
;Kobayashi;Ryoyu;JAP;m;skispringen
;Prevc;Peter;SLO;m;skispringen
;Aschenwald;Philipp;AUT;m;skispringen
;Jelar;Ziga;SLO;m;skispringen
;Wasek;Pawel;POL;m;skispringen
;Geiger;Karl;GER;m;skispringen
;Sundal;Kristoffer Eriksen;NOR;m;skispringen
;Lindvik;Marius;NOR;m;skispringen
;Leyhe;Stephan;GER;m;skispringen
;Tande;Daniel Andre;NOR;m;skispringen
;Deschwanden;Gregor;SUI;m;skispringen
;Prevc;Domen;SLO;m;skispringen
;Paschke;Pius;GER;m;skispringen
;Leitner;Clemens;AUT;m;skispringen
;Eisenbichler;Markus;GER;m;skispringen
;Aalto;Antti;FIN;m;skispringen
;Fannemel;Anders;NOR;m;skispringen
;Nakamura;Naoki;JAP;m;skispringen
;Zografski;Vladimir;BUL;m;skispringen
;Aigro;Artti;EST;m;skispringen
;Ipcioglu;Fatih TUR;GER;m;skispringen
;Palosaari;Vilho;FIN;m;skispringen
;Dean;Decker;USA;m;skispringen
;Insam;Alex;ITA;m;skispringen
;Hula;Stefan;POL;m;skispringen
;Vassilyev;Danil;KAZ;m;skispringen
;Koudelka;Roman;CZE;m;skispringen
;Belshaw;Erik;USA;m;skispringen
;Habdas;Jan;POL;m;skispringen
;Nikaido;Ren;JAP;m;skispringen
;Maltsev;Kevin;EST;m;skispringen
;Aigner;Clemens;AUT;m;skispringen
;Sato;Yukiya;JAP;m;skispringen
;Cecon;Francesco;ITA;m;skispringen
;Ortner;Maximilian;AUT;m;skispringen
;Bresadola;Giovanni;ITA;m;skispringen
;Hoffmann;Felix;GER;m;skispringen
;Kobayashi;Junshiro;JAP;m;skispringen
;Bedir;Muhammed Ali;TUR;m;skispringen
;Kytosaho;Niko;FIN;m;skispringen
;Moerth;Francisco;AUT;m;skispringen
;Hamann;Martin;GER;m;skispringen
;Mueller;Markus;AUT;m;skispringen
;Roth;Luca;GER;m;skispringen
;Sato;Keiichi;JAP;m;skispringen
